brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
腾势,腾势D9 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0fa1a154670f4bb9b330d0b931fa4024~tplv-resize:640:0.png,7006,"[33.18, 59.26]",腾势汽车,102,中大型MPV,插电式混合动力,2024.03,6年或15万公里
北京,北京BJ30,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/448e361c30114bf38bc4f1c09495a63f~tplv-resize:640:0.png,6697,"[9.99, 13.69]",北京汽车,103,紧凑型SUV,汽油,2024.05,5年或15万公里
丰田,雷凌,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1b796b228c2e4582beacd3928e0d5ae0~tplv-resize:640:0.png,6635,"[7.88, 11.88]",广汽丰田,104,紧凑型车,汽油,2024.03,3年或10万公里
宝马,宝马X5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,6555,"[55.28, 74.27]",华晨宝马,105,中大型SUV,48V轻混系统,2024.10,3年或10万公里
理想汽车,理想L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,6493,"[40.98, 43.98]",理想汽车,106,大型SUV,增程式,2024.03,5年或10万公里
奇瑞,瑞虎7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d6cd595add6f43c8b9d32b73c8de074b~tplv-resize:640:0.png,6487,"[6.99, 13.09]",奇瑞汽车,107,紧凑型SUV,汽油,2024.11,3年或10万公里
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,6471,"[32.18, 37.98]",理想汽车,108,中大型SUV,增程式,2024.03,5年或10万公里
蔚来,蔚来ES6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,6471,"[33.8, 39.6]",蔚来,109,中型SUV,纯电动,2024.02,3年或12万公里
捷达,捷达VS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c03f20ae4d540638d295c0636a0d4c5~tplv-resize:640:0.png,6448,"[8.79, 12.19]",一汽-大众捷达,110,紧凑型SUV,汽油,2024.04,3年或10万公里
比亚迪,海狮07 EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b69406d5ac524645bf19f945f9887226~tplv-resize:640:0.png,6416,"[18.98, 23.98]",比亚迪,111,中型SUV,纯电动,2024.05,6年或15万公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,6366,"[9.59, 15.29]",广汽本田,112,紧凑型车,汽油,2024.03,3年或10万公里
广汽传祺,传祺E8 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/06201cc9699d4ec3b6a25649eb5ce90d~tplv-resize:640:0.png,6219,"[20.98, 23.88]",广汽传祺,113,中型MPV,插电式混合动力,2023.11,3年或10万公里
比亚迪,海豹07 DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/187722eca6954a2c8ad049713c64df80~tplv-resize:640:0.png,6139,"[13.98, 19.58]",比亚迪,114,中型车,插电式混合动力,2024.08,6年或15万公里
大众,凌渡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,6081,"[10.39, 15.59]",上汽大众,115,紧凑型车,汽油,2024.10,3年或10万公里
红旗,红旗E-QM5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/20187774599c4f4186b8e9913cf2989a~tplv-resize:640:0.png,6061,"[16.58, 23.98]",一汽红旗,116,中型车,纯电动,2024.04,3年或30万公里
魏牌,蓝山,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b2fc30a2a36d424ebde60c4da44d95b6~tplv-resize:640:0.png,6030,"[27.38, 32.68]",长城汽车,117,中大型SUV,插电式混合动力,2024.08,5年或15万公里
方程豹,豹5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c4dd30eca44470a917d366c05db05b5~tplv-resize:640:0.png,6026,"[23.98, 30.28]",方程豹,118,中型SUV,插电式混合动力,2024.04,6年或15万公里
智己汽车,智己LS6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/084f848f230e416c9b0323ea4adae057~tplv-resize:640:0.png,6021,"[21.99, 28.29]",智己汽车,119,中大型SUV,纯电动,2024.09,5年或15万公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c6e1943c2094ec2a14fd460d2c0ba4d~tplv-resize:640:0.png,5870,"[25.9, 32.9]",极氪,120,中大型车,纯电动,2024.08,4年或10万公里
捷途,捷途山海T2,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/aa7a7ac338c74ce58dc6939b43be91fa~tplv-resize:640:0.png,5816,"[17.99, 22.49]",奇瑞汽车,121,紧凑型SUV,插电式混合动力,2024.04,4年或10万公里
广汽传祺,传祺GS3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9bd75ad6814541c1a3692ae64670405d~tplv-resize:640:0.png,5666,"[6.88, 9.48]",广汽传祺,122,小型SUV,汽油,2024.08,3年或10万公里
iCAR,iCAR 03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/82dbd5e3acb94713afb3cb4da2dfaa68~tplv-resize:640:0.png,5644,"[10.98, 16.98]",奇瑞新能源,123,紧凑型SUV,纯电动,2024.02,4年或12万公里
阿维塔,阿维塔 07,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8b7d620a07494ec4a54bbd467b1aa2da~tplv-resize:640:0.png,5636,"[21.99, 28.99]",阿维塔科技,124,中型SUV,增程式,2024.09,5年或12万公里
沃尔沃,沃尔沃XC60,https://p9-dcd.byteimg.com/img/motor-mis-img/058f6dd326221149f0f7d23aec62600c~tplv-resize:640:0.png,5577,"[26.29, 29.9]",沃尔沃亚太,125,中型SUV,48V轻混系统,2024.06,3年不限公里
长安,长安UNI-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/16e21ac894654caebd0997e976d3bebf~tplv-resize:640:0.png,5575,"[9.39, 12.19]",长安汽车,126,紧凑型车,汽油,2024.03,3年或10万公里
长安欧尚,长安欧尚X5 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4616746e0c748508ba07e1c3909e58f~tplv-resize:640:0.png,5410,"[7.19, 9.69]",长安汽车,127,紧凑型SUV,汽油,2023.04,3年或10万公里
吉利银河,银河L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a2c43577f9c04ca98575a871846c7b7a~tplv-resize:640:0.png,5302,"[9.38, 12.68]",吉利银河,128,紧凑型车,插电式混合动力,2024.03,4年或10万公里
福特,蒙迪欧,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/166345333678466f86a3c52c64198c69~tplv-resize:640:0.png,5292,"[12.98, 20.98]",长安福特,129,中型车,汽油,2024.09,3年或10万公里
广汽传祺,传祺M8,https://p3-dcd.byteimg.com/img/motor-mis-img/6e784e8e17abc04adea0d726fe51ff69~tplv-resize:640:0.png,5150,"[16.98, 33.28]",广汽传祺,130,中大型MPV,汽油,2024.05,3年或10万公里
奇瑞,瑞虎9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/024eb2afb99a4fb0b5511d4841e0bd93~tplv-resize:640:0.png,5126,"[14.29, 20.99]",奇瑞汽车,131,中型SUV,汽油,2024.09,3年或10万公里
五菱汽车,五菱缤果PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4fd05310cc9a472db6fcc2462023852b~tplv-resize:640:0.png,5072,"[7.58, 9.58]",上汽通用五菱,132,小型SUV,纯电动,2024.03,4年或15万公里
坦克,坦克300,https://p3-dcd.byteimg.com/img/motor-mis-img/53d89e20ef5df0119912ecfc6db642ae~tplv-resize:640:0.png,5027,"[19.98, 33]",长城汽车,133,紧凑型SUV,汽油,2023.08,5年或15万公里
领克,领克07 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ee79e9a18437407386343b5ec5dbd6f3~tplv-resize:640:0.png,5012,"[15.98, 19.48]",领克,134,中型车,插电式混合动力,2024.05,5年或10万公里
捷途,捷途大圣,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1eee229af39646499f1cd986e4d3a0a0~tplv-resize:640:0.png,4966,"[8.89, 12.19]",奇瑞汽车,135,紧凑型SUV,汽油,2024.09,4年或10万公里
丰田,皇冠陆放,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6a54e46c78d64ba591d90dcaeeef96d7~tplv-resize:640:0.png,4906,"[24.18, 31.68]",一汽丰田,136,中型SUV,油电混合,2024.05,3年或10万公里
东风纳米,纳米01,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9e7caf8eea3b4efcb788f49c5ae8fdc0~tplv-resize:640:0.png,4858,"[7.48, 10.68]",东风汽车,137,小型车,纯电动,2024.08,3年不限里程
五菱汽车,五菱星光S PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5ac984fc673e4ca88529850dd9a61aca~tplv-resize:640:0.png,4841,"[9.98, 11.98]",上汽通用五菱,138,紧凑型SUV,插电式混合动力,2024.08,6年或15万公里
小鹏汽车,小鹏G6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67c41851c96341c19c0461ff9db91911~tplv-resize:640:0.png,4751,"[18.49, 25.69]",小鹏汽车,139,中型SUV,纯电动,2024.04,5年或12万公里
名爵,MG5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a96e16e42b5745c8bbaa214569929459~tplv-resize:640:0.png,4621,"[5.39, 8.59]",上汽集团,140,紧凑型车,汽油,2024.09,3年或10万公里
大众,T-ROC探歌,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/854d92c324144a8baf7f4a1229768f5e~tplv-resize:640:0.png,4590,"[10.59, 12.69]",一汽-大众,141,紧凑型SUV,汽油,2024.01,3年或10万公里
领克,领克03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f89333a7e71944f4b83eb00d0fdcb43b~tplv-resize:640:0.png,4464,"[11.88, 41.93]",领克,142,紧凑型车,汽油,2024.08,4年或10万公里
领克,领克06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5da67fc11f4e44eeb27426cc1b02bfae~tplv-resize:640:0.png,4427,"[10.06, 12.06]",领克,143,小型SUV,汽油,2024.09,4年或10万公里
乐道,乐道L60,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/780f784ba2494f0f85f23f277491b9a1~tplv-resize:640:0.png,4319,"[20.69, 25.59]",乐道,144,中型SUV,纯电动,2024.09,4年或10万公里
蔚来,蔚来ET5T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a03cf015743343d0aa5a45c8b02551c9~tplv-resize:640:0.png,4306,"[29.8, 35.6]",蔚来,145,中型车,纯电动,2024.02,3年或12万公里
雪佛兰,科鲁泽,https://p9-dcd.byteimg.com/img/motor-mis-img/f63e0947469ae2d9cee05bbdc33f514f~tplv-resize:640:0.png,4296,"[5.99, 7.45]",上汽通用雪佛兰,146,紧凑型车,汽油,2023.06,3年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5cd480f6fcc24ad3a7353de566a7229e~tplv-resize:640:0.png,4281,"[23.19, 33.59]",特斯拉中国,147,中型车,纯电动,2024.04,4年或8万公里
本田,英仕派,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/068adb9f4c04421fae8d8a372bc5cf0e~tplv-resize:640:0.png,4222,"[12.38, 17.08]",东风本田,148,中型车,汽油,2024.04,3年或10万公里
奇瑞新能源,小蚂蚁,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c582d200e0fe44c7b1b5f3b6134c8849~tplv-resize:640:0.png,4198,"[5.99, 9.2999]",奇瑞新能源,149,微型车,纯电动,2024.10,3年或12万公里
东风风神,风神L7 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/810ea03ad55e4827938121276962fb85~tplv-resize:640:0.png,4165,"[12.89, 14.99]",东风乘用车,150,紧凑型SUV,插电式混合动力,2024.04,10年不限里程(责任免除条款以官方为准）
欧拉,欧拉好猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ab007f27b81e4ca2b912c9d10a844f21~tplv-resize:640:0.png,4155,"[9.58, 13.18]",长城汽车,151,小型车,纯电动,2024.04,4年或15万公里
大众,ID.4 X,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d16a58d2e5694b7b84ba28604a6421e0~tplv-resize:640:0.png,4155,"[14.98, 23.94]",上汽大众,152,紧凑型SUV,纯电动,2024.07,3年或10万公里
奇瑞新能源,QQ冰淇淋,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b949ba428bc143aeb2bcfdef93eb7f61~tplv-resize:640:0.png,4137,"[2.99, 5.69]",奇瑞新能源,153,微型车,纯电动,2024.04,3年或10万公里
长安启源,长安启源A07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f57c8505659b455bbc236524ae5dd97b~tplv-resize:640:0.png,4113,"[13.59, 15.99]",长安启源,154,中大型车,增程式,2024.10,3年或15万公里
现代,伊兰特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9df2036fdb244307bed69e9e03cf2368~tplv-resize:640:0.png,4087,"[7.78, 12.18]",北京现代,155,紧凑型车,汽油,2023.08,3年或10万公里
长安,长安CS55 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8727a564bae045058a6c89a8395c2612~tplv-resize:640:0.png,4066,"[7.79, 11.09]",长安汽车,156,紧凑型SUV,汽油,2023.09,3年或10万公里
坦克,坦克500 Hi4-T,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d1d12a60d3544b438485a8e392d5b40f~tplv-resize:640:0.png,4001,"[33.5, 34.5]",长城汽车,157,中大型SUV,插电式混合动力,2024.10,5年或15万公里
ARCFOX极狐,极狐 考拉,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/61a295098a194091a94639d40b5c10a6~tplv-resize:640:0.png,3953,"[11.98, 15.88]",北汽新能源,158,紧凑型MPV,纯电动,2023.09,5年或12万公里
大众,途昂,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/11058259bf244362a9825e01c0c1d177~tplv-resize:640:0.png,3913,"[23.2, 34.5]",上汽大众,159,中大型SUV,汽油,2023.09,3年或10万公里
东风奕派,eπ007,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/800b755e8da547419991b18a5767796c~tplv-resize:640:0.png,3899,"[12.96, 16.96]",东风乘用车,160,中大型车,增程式,2024.08,3年或10万公里
五菱汽车,五菱星光PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8924355e448749aa9288b46515577d4d~tplv-resize:640:0.png,3882,"[7.68, 10.08]",上汽通用五菱,161,紧凑型车,插电式混合动力,2024.04,6年或15万公里
别克,别克GL8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/2e0fb3155b62405c92e9c5c9fe7d96da~tplv-resize:640:0.png,3816,"[19.79, 45.39]",上汽通用别克,162,中大型MPV,48V轻混系统,2024.10,3年或10万公里
奔驰,奔驰GLB,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/05ab32d0a1b6462fa97ed1ecb0b2b183~tplv-resize:640:0.png,3702,"[23.19, 28.79]",北京奔驰,163,紧凑型SUV,汽油,2023.08,3年不限公里
丰田,丰田bZ3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cbf3ea024efc4e49ad282ed1bdc84cc4~tplv-resize:640:0.png,3696,"[13.98, 16.98]",一汽丰田,164,中型车,纯电动,2024.01,3年或10万公里
深蓝汽车,深蓝SL03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/89bf7774d79f44eab5d9acca6ba8712e~tplv-resize:640:0.png,3676,"[11.99, 19.19]",深蓝汽车,165,中型车,增程式,2024.09,3年或12万公里
ARCFOX极狐,极狐 阿尔法S5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/62b8d4dd26a34ec78aa9741491e89c54~tplv-resize:640:0.png,3469,"[12.9, 18.5]",北汽新能源,171,中型车,纯电动,2024.08,3年12万公里
比亚迪,海狮05 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/689f4b01bc6a417a8292aeda6763bead~tplv-resize:640:0.png,3452,"[11.28, 14.28]",比亚迪,172,紧凑型SUV,插电式混合动力,2024.09,6年或15万公里
马自达,马自达CX-5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cd0afa2cba3f4fba8cfdac2c4417a60b~tplv-resize:640:0.png,3447,"[11.58, 18.78]",长安马自达,173,紧凑型SUV,汽油,2023.09,3年或10万公里
广汽传祺,传祺M6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f64608b8a07c4434b2bc00a55ecb48b3~tplv-resize:640:0.png,3446,"[10.98, 14.98]",广汽传祺,174,紧凑型MPV,汽油,2024.05,3年或10万公里
捷途,捷途X90,https://p3-dcd.byteimg.com/img/motor-mis-img/db9398d99c107b4ee74543a8fa39cc8a~tplv-resize:640:0.png,3397,"[12.99, 16.29]",奇瑞汽车,175,中型SUV,汽油,2022.11,4年或10万公里
极氪,ZEEKR 009,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/05e891a13ed246f8b3d28415a1735893~tplv-resize:640:0.png,3334,"[43.9, 78.9]",极氪,176,中大型MPV,纯电动,2024.07,4年或10万公里
深蓝汽车,深蓝L07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/149288d6e51d457482c6cfd53fc63118~tplv-resize:640:0.png,3328,"[15.19, 17.39]",深蓝汽车,177,中型车,增程式,2024.09,3年或12万公里
奥迪,奥迪Q3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1c04470ca1254ad18552cabef768699e~tplv-resize:640:0.png,3325,"[17.35, 20.83]",一汽奥迪,178,紧凑型SUV,汽油,2023.08,3年或10万公里
ARCFOX极狐,极狐 阿尔法T5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/67e354e4850c48c4bd343e14d2fac9c5~tplv-resize:640:0.png,3313,"[12.4, 16.8]",北汽新能源,179,中型SUV,纯电动,2023.12,3年或12万公里
宝马,宝马i3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/812cf2f507c041059d2d1793521927a1~tplv-resize:640:0.png,3241,"[22.39, 28.69]",华晨宝马,180,中型车,纯电动,2024.09,3年或10万公里
大众,揽巡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8c9d9e77cdf5462a86c515692b23c0e7~tplv-resize:640:0.png,3157,"[20.29, 28.69]",一汽-大众,181,中大型SUV,汽油,2024.06,3年或10万公里
别克,别克GL8 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a62341ab1a274469a97245d03f8a9336~tplv-resize:640:0.png,3153,"[35.99, 41.99]",上汽通用别克,182,中大型MPV,插电式混合动力,2024.04,3年或10万公里
东风奕派,eπ008,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b48753d8324c46888c9faa124749ac5d~tplv-resize:640:0.png,3111,"[18.86, 19.36]",东风乘用车,183,中大型SUV,增程式,2024.06,3年或10万公里
腾势,腾势Z9GT DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8dc624ad9a764415addd500e616efb3d~tplv-resize:640:0.png,3089,"[33.48, 41.48]",腾势汽车,184,中大型车,插电式混合动力,2024.09,6年或15万公里
大众,高尔夫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64578c8e0b824a85acb54bef3bc70f05~tplv-resize:640:0.png,3084,"[12.08, 13.68]",一汽-大众,185,紧凑型车,汽油,2024.07,3年或10万公里
东风风行,星海S7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/74e72960fc1e4096822011d7bf0ff0fc~tplv-resize:640:0.png,2935,"[11.98, 15.49]",东风风行,186,中大型车,纯电动,2024.09,8年或16万公里
日产,奇骏,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5ae572c93a99402d89bab23657b64d6e~tplv-resize:640:0.png,2895,"[13.93, 26.29]",东风日产,187,紧凑型SUV,汽油电驱,2024.08,3年或10万公里
捷途,捷途山海T1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e575a4c77fea4ed19a8100c8adc154e8~tplv-resize:640:0.png,2856,"[15.48, 17.48]",奇瑞汽车,188,紧凑型SUV,插电式混合动力,2024.10,4年或10万公里
哈弗,哈弗H9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a9ccdcd20da4499581d45c7edaf7f8af~tplv-resize:640:0.png,2783,"[19.99, 23.79]",长城汽车,189,中大型SUV,汽油,2024.09,5年或15万公里
本田,奥德赛,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/77ceb3fa8b664dfd8457a5b57ef84042~tplv-resize:640:0.png,2767,"[19.68, 43.98]",广汽本田,190,中型MPV,油电混合,2023.06,3年或10万公里
捷途,捷途山海L7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d351aa086a894ea0ada524e9ce7a6bc3~tplv-resize:640:0.png,2762,"[12.98, 15.98]",奇瑞汽车,191,中型SUV,插电式混合动力,2024.09,10年或20万公里
大众,ID.4 CROZZ,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f9974445720e412b8d4d170c3e56c47f~tplv-resize:640:0.png,2721,"[13.98, 23.74]",一汽-大众,192,紧凑型SUV,纯电动,2023.10,3年或10万公里
五菱汽车,五菱星光S EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b6193baf5fe6449fbf249892cba67860~tplv-resize:640:0.png,2718,"[11.98, 12.98]",上汽通用五菱,193,紧凑型SUV,纯电动,2024.08,6年或15万公里
吉利银河,银河E8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/de6b6d01181f4d3abb49d483614254cc~tplv-resize:640:0.png,2705,"[15.78, 22.08]",吉利银河,194,中大型车,纯电动,2024.04,6年或15万公里
极氪,ZEEKR 007,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f9acb99754df465cb03c1e813c2da7b8~tplv-resize:640:0.png,2621,"[20.99, 29.99]",极氪,195,中型车,纯电动,2024.08,4年或10万公里
比亚迪,宋L EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a2cd16842634bdfa34c1169b8c02ee0~tplv-resize:640:0.png,2596,"[17.98, 24.98]",比亚迪,196,中型SUV,纯电动,2024.08,6年或15万公里
福特,锐界,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cad5d4e17ca14279b93666d6e3164c3d~tplv-resize:640:0.png,2594,"[19.88, 29.18]",长安福特,197,中型SUV,汽油,2024.11,3年或10万公里
smart,smart精灵#1,https://p3-dcd.byteimg.com/img/motor-mis-img/d3dc084ea15c3a5ddb79094343132daa~tplv-resize:640:0.png,2569,"[15.49, 28.49]",smart,198,小型SUV,纯电动,2024.04,4年或15万公里
北京,北京BJ40,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3a8235032015497c9b815308b121c4ba~tplv-resize:640:0.png,2565,"[13.98, 26.99]",北京汽车,199,紧凑型SUV,汽油,2023.11,5年或15万公里
北京汽车,北京EU5,https://p9-dcd.byteimg.com/img/motor-mis-img/fac9641308c9c3c9b23765bdcbdd6697~tplv-resize:640:0.png,2525,"[10.8, 17.19]",北京汽车,200,紧凑型车,纯电动,2022.09,3年或12万公里
沃尔沃,沃尔沃S60,https://p3-dcd.byteimg.com/img/motor-mis-img/917e910a69010277adf7b04033758613~tplv-resize:640:0.png,2525,"[18.9, 25.81]",沃尔沃亚太,201,中型车,48V轻混系统,2024.06,3年不限公里
宝骏,宝骏云海EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2cc4c46552a948a4b1b61da2c0d813cc~tplv-resize:640:0.png,2505,"[12.38, 13.38]",上汽通用五菱,202,紧凑型SUV,纯电动,2024.09,6年或15万公里
广汽传祺,传祺GS8,https://p3-dcd.byteimg.com/img/motor-mis-img/bef1e4e3b0a6fa8de3a3887dcaaad449~tplv-resize:640:0.png,2474,"[15.48, 24.08]",广汽传祺,203,中型SUV,汽油,2024.05,5年或15万公里
